Card,PlayerGames,AvgEloChange
Earth Catapult,6526,2.37955868832363
AI Central,6298,2.14433153382026
Advanced Alloys,6352,1.70906801007557
Restricted Area,6599,1.69677223821791
Research Outpost,6708,1.62716159809183
Giant Ice Asteroid,6045,1.33978494623656
Mining Rights,6594,1.29481346678799
Development Center,6160,1.23035714285714
Electro Catapult,6078,1.14758144126357
Space Elevator,6091,1.14020686258414
Kelp Farming,5678,1.09528002817894
Nuclear Zone,6218,1.09295593438405
Media Group,6336,1.08380681818182
Olympus Conference,6365,1.07588373919874
Mining Area,6381,0.992634383325498
Mass Converter,5940,0.984848484848485
Acquired Company,6529,0.979169857558585
Deimos Down,6196,0.947546804389929
Mars University,6412,0.946350592638802
Optimal Aerobraking,6272,0.946269132653061
Space Hotels,5008,0.945287539936102
Natural Preserve,6474,0.939759036144578
Asteroid Mining Consortium,5745,0.903046127067015
Mohole Area,5637,0.900124179528118
Nitrogen-Rich Asteroid,5926,0.890313871076612
Psychrophiles,5631,0.87604333155745
Anti-Gravity Technology,5671,0.875859636748369
Earth Office,6421,0.849711882884286
Cartel,4712,0.807300509337861
Titanium Mine,6576,0.804136253041362
Quantum Extractor,5717,0.802168969739374
Hackers,3311,0.799154334038055
Industrial Microbes,5814,0.788957688338493
Research,6444,0.788485412787089
Mine,6578,0.768166615992703
Energy Tapping,5055,0.745994065281899
Inventors' Guild,6201,0.733591356232866
Io Mining Industries,5632,0.693181818181818
Bribed Committee,4899,0.662992447438253
Great Escarpment Consortium,4395,0.648919226393629
Sabotage,5546,0.645329967544176
Robotic Workforce,5804,0.616815988973122
Strip Mine,5420,0.589852398523985
Indentured Workers,5015,0.564705882352941
Sponsors,6461,0.553010369911778
Protected Valley,5018,0.540255081705859
Fuel Factory,5579,0.53737228894067
Virus,4934,0.498581272800973
Mineral Deposit,5853,0.490005125576627
Business Network,5840,0.485445205479452
Hired Raiders,5796,0.477743271221532
Miranda Resort,4508,0.466947648624667
Invention Contest,6136,0.464308996088657
Designed Microorganisms,5381,0.453075636498792
Business Contacts,5980,0.452842809364549
Building Industries,5655,0.435897435897436
Large Convoy,5830,0.431217838765009
Ice Asteroid,6173,0.429288838490199
Mangrove,2633,0.426509684770224
Big Asteroid,5911,0.411097952969041
Arctic Algae,6296,0.402636594663278
Corporate Stronghold,2877,0.393812999652416
Nitrophilic Moss,4591,0.381616205619691
Investment Loan,4933,0.377863369146564
Interstellar Colony Ship,2439,0.371053710537105
Giant Space Mirror,4302,0.365411436541144
Solar Wind Power,6314,0.356984478935698
Peroxide Power,4408,0.356851179673321
Terraforming Ganymede,4508,0.326086956521739
Imported Hydrogen,5879,0.317230821568294
Steelworks,1497,0.314629258517034
Aquifer Pumping,1311,0.307398932112891
Heat Trappers,4189,0.298878013845787
Flooding,4885,0.297441146366428
Ecological Zone,5670,0.293121693121693
Asteroid Mining,5688,0.286040787623066
Ice cap Melting,414,0.277777777777778
Herbivores,3335,0.268365817091454
Trees,3916,0.265321756894791
Technology Demonstration,6061,0.261508001979871
Industrial Center,4853,0.253039357098702
Research Coordination,5044,0.252577319587629
Insects,5502,0.250454380225373
Cupola City,5579,0.244667503136763
Convoy From Europa,5819,0.243340780202784
Birds,3747,0.241259674406192
Deep Well Heating,4628,0.236387208297321
Lake Marineris,1728,0.234953703703704
Commercial District,4022,0.233465937344605
Medical Lab,5567,0.232620801149632
Lava Flows,5442,0.215361999264976
Archaebacteria,5336,0.210832083958021
Power Plant,5691,0.2001405728343
Geothermal Power,5381,0.180449730533358
Viral Enhancers,6345,0.180299448384555
Artificial Photosynthesis,5159,0.179492149641403
Algae,4952,0.166397415185784
Ironworks,886,0.160270880361174
Vesta Shipyard,5806,0.160006889424733
Subterranean Reservoir,4940,0.15748987854251
Comet,5898,0.151068158697864
GHG Factories,4312,0.107374768089054
Lagrange Observatory,5563,0.103721013841452
Imported GHG,4332,0.0914127423822715
Domed Crater,5269,0.0882520402353388
Standard Technology,5186,0.0879290397223294
Trans-Neptune Probe,4985,0.087863590772317
Imported Nitrogen,4559,0.0859837683702566
Small Animals,3340,0.0829341317365269
Greenhouses,4281,0.081055828077552
Grass,3954,0.0809307030854831
Local Heat Trapping,1391,0.0639827462257369
Satellites,2814,0.0490405117270789
Methane From Titan,4517,0.0440557892406464
Plantation,4540,0.0372246696035242
Open City,1354,0.0369276218611521
Asteroid,5945,0.0359966358284272
Decomposers,4804,0.0345545378850958
Noctis Farming,3881,0.0329811904148415
Moss,4095,0.02002442002442
Bushes,4887,0.0104358502148557
Advanced Ecosystems,4420,-0.00339366515837104
Towing a Comet,5919,-0.00371684406149687
Farming,2291,-0.013094718463553
Fueled Generators,4183,-0.0389672483863256
Beam From a Thorium Asteroid,3596,-0.0433815350389321
House Printing,4135,-0.0556227327690447
Noctis City,5626,-0.0567010309278351
Import of Advanced GHG,4583,-0.0613135500763692
Fish,3353,-0.0700864897107068
Martian Survey,4198,-0.0757503573130062
Tectonic Stress Power,2372,-0.0805227655986509
Media Archives,2370,-0.0856540084388186
Fusion Power,2875,-0.087304347826087
Special Design,704,-0.0909090909090909
Ganymede Colony,4512,-0.0957446808510638
Lichen,4147,-0.0991077887629612
Search For Life,4365,-0.102405498281787
Carbonate Processing,3173,-0.109990545225339
Biomass Combustors,1431,-0.122292103424179
Gene Repair,4020,-0.12910447761194
Immigration Shuttles,3366,-0.131907308377897
Space Station,4919,-0.184996950599715
Power Supply Consortium,2642,-0.191521574564724
Lunar Beam,3712,-0.201239224137931
GHG Producing Bacteria,1834,-0.201744820065431
Heather,3808,-0.21297268907563
Land Claim,532,-0.219924812030075
Callisto Penal Mines,3754,-0.231752797016516
Tardigrades,1619,-0.273008029647931
Predators,1867,-0.281199785752544
Shuttles,2733,-0.284668862056348
Soletta,3198,-0.302689180737961
Permafrost extraction,935,-0.304812834224599
Capital,1897,-0.306273062730627
Nuclear Power,3137,-0.307937519923494
Water Splitting Plant,630,-0.30952380952381
Black Polar Dust,2189,-0.321151210598447
Adaptation Technology,2482,-0.330781627719581
CEO's Favourite Project,674,-0.341246290801187
Ore Processor,1161,-0.368647717484927
Protected Habitats,6216,-0.376126126126126
Breathing Filters,1089,-0.378328741965106
Worms,405,-0.407407407407407
Regolith Eaters,1529,-0.408109875735775
Lightning Harvest,1834,-0.40948745910578
Adapted Lichen,3254,-0.412415488629379
Eos Chasma National Park,1853,-0.412844036697248
Space Mirrors,1155,-0.426839826839827
Colonizer Training Camp,4415,-0.437146092865232
Food Factory,816,-0.443627450980392
Cloud Seeding,1224,-0.45343137254902
Extreme-Cold Fungus,1954,-0.480040941658137
Pets,4007,-0.499875218367856
Lava Tube Settlement,3389,-0.507229271171437
Rad-Chem Factory,2509,-0.508170585890793
Physics Complex,1245,-0.526104417670683
Power Infrastructure,570,-0.528070175438596
Dust Seals,1094,-0.530164533820841
Symbiotic Fungus,492,-0.544715447154472
Solar Power,2724,-0.551395007342144
Nitrite Reducing Bacteria,1546,-0.564683053040103
Water Import From Europa,3876,-0.603715170278638
Rad-Suits,758,-0.606860158311346
SF Memorial,3060,-0.621895424836601
Tundra Farming,1078,-0.62708719851577
Rover Construction,4140,-0.649275362318841
Wave Power,1329,-0.649360421369451
Zeppelins,626,-0.651757188498403
Livestock,1462,-0.657318741450068
Windmills,754,-0.668435013262599
Ants,826,-0.675544794188862
Great Dam,1725,-0.687536231884058
Aerobraked Ammonia Asteroid,1074,-0.689944134078212
Urbanized Area,1910,-0.805759162303665
Phobos Space Haven,3535,-0.867892503536068
Immigrant City,5030,-0.871570576540755
Martian Rails,739,-0.876860622462788
Power Grid,469,-0.899786780383795
Micro-Mills,1115,-0.926457399103139
Underground City,2862,-0.934311670160727
Mining Expedition,1919,-0.951537258989057
Release of Inert Gases,1733,-0.952106174264282
Magnetic Field Generators,447,-0.961968680089485
Artificial Lake,367,-1.00817438692098
Security Fleet,387,-1.10335917312662
Soil Factory,524,-1.15076335877863
Toll Station,868,-1.31336405529954
Underground Detonations,242,-1.33884297520661
Insulation,295,-1.35254237288136
Equatorial Magnetizer,280,-1.38214285714286
Tropical Resort,450,-1.45111111111111
Energy Saving,387,-1.45736434108527
Magnetic Field Dome,353,-1.6685552407932
Caretaker Contract,101,-2.59405940594059
